repeat,baseline,X,accuracy,fold
3,byte_entropy,13,0.5,3
3,byte_entropy,14,0.5,3
3,byte_entropy,15,0.5,3
3,byte_entropy,16,0.5,3
3,byte_entropy,17,0.5,3
3,byte_entropy,18,0.5,3
3,byte_entropy,19,0.5,3
3,byte_entropy,20,0.5434782608695652,3
3,byte_entropy,21,0.934782608695652,3
3,byte_entropy,22,1.0,3
3,byte_entropy,23,1.0,3
3,histogram_kl,1,0.5,3
3,histogram_kl,2,0.4565217391304348,3
3,histogram_kl,3,0.5,3
3,histogram_kl,4,0.5217391304347826,3
3,histogram_kl,5,0.5,3
3,histogram_kl,6,0.6086956521739131,3
3,histogram_kl,7,0.5434782608695652,3
3,histogram_kl,8,0.4565217391304348,3
3,histogram_kl,9,0.5217391304347826,3
3,histogram_kl,10,0.5217391304347826,3
3,histogram_kl,11,0.5217391304347826,3
3,histogram_kl,12,0.5652173913043479,3
3,histogram_kl,13,0.5217391304347826,3
3,histogram_kl,14,0.5869565217391305,3
3,histogram_kl,15,0.5,3
3,histogram_kl,16,0.5,3
3,histogram_kl,17,0.5217391304347826,3
3,histogram_kl,18,0.5869565217391305,3
3,histogram_kl,19,0.5217391304347826,3
3,histogram_kl,20,0.5,3
3,histogram_kl,21,0.5217391304347826,3
3,histogram_kl,22,0.4347826086956521,3
3,histogram_kl,23,0.5652173913043479,3
3,weight_value_dist,1,0.5,3
3,weight_value_dist,2,0.5,3
3,weight_value_dist,3,0.5,3
3,weight_value_dist,4,0.5217391304347826,3
3,weight_value_dist,5,0.5,3
3,weight_value_dist,6,0.5,3
3,weight_value_dist,7,0.5,3
3,weight_value_dist,8,0.5,3
3,weight_value_dist,9,0.5,3
3,weight_value_dist,10,0.5,3
3,weight_value_dist,11,0.5,3
3,weight_value_dist,12,0.5217391304347826,3
3,weight_value_dist,13,0.5217391304347826,3
3,weight_value_dist,14,0.5217391304347826,3
3,weight_value_dist,15,0.5,3
3,weight_value_dist,16,0.5217391304347826,3
3,weight_value_dist,17,0.5,3
3,weight_value_dist,18,0.5217391304347826,3
3,weight_value_dist,19,0.5869565217391304,3
3,weight_value_dist,20,0.782608695652174,3
3,weight_value_dist,21,1.0,3
3,weight_value_dist,22,1.0,3
3,weight_value_dist,23,1.0,3
3,byte_autocorr,1,0.5,3
3,byte_autocorr,2,0.5,3
3,byte_autocorr,3,0.5,3
3,byte_autocorr,4,0.5217391304347826,3
3,byte_autocorr,5,0.5434782608695652,3
3,byte_autocorr,6,0.4782608695652174,3
3,byte_autocorr,7,0.4565217391304347,3
3,byte_autocorr,8,0.5652173913043478,3
3,byte_autocorr,9,0.5869565217391304,3
3,byte_autocorr,10,0.5434782608695652,3
3,byte_autocorr,11,0.5217391304347826,3
3,byte_autocorr,12,0.5217391304347826,3
3,byte_autocorr,13,0.5869565217391304,3
3,byte_autocorr,14,0.5652173913043478,3
3,byte_autocorr,15,0.5434782608695652,3
3,byte_autocorr,16,0.5652173913043479,3
3,byte_autocorr,17,0.4782608695652173,3
3,byte_autocorr,18,0.5,3
3,byte_autocorr,19,0.5869565217391304,3
3,byte_autocorr,20,0.6086956521739131,3
3,byte_autocorr,21,0.5217391304347826,3
3,byte_autocorr,22,0.5217391304347826,3
3,byte_autocorr,23,0.5217391304347826,3
4,byte_entropy,1,0.5,4
4,byte_entropy,2,0.5,4
4,byte_entropy,3,0.5,4
4,byte_entropy,4,0.5,4
4,byte_entropy,5,0.5,4
4,byte_entropy,6,0.5,4
4,byte_entropy,7,0.5,4
4,byte_entropy,8,0.5,4
4,byte_entropy,9,0.5,4
4,byte_entropy,10,0.5,4
4,byte_entropy,11,0.5,4
4,byte_entropy,12,0.5,4
