run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
0,famous_le_100m,20,0.9285714285714286,0.0,1
0,famous_le_100m,21,0.9285714285714286,0.0,1
0,famous_le_100m,22,1.0,0.0,1
0,famous_le_100m,23,1.0,0.0,1
0,maleficnet_benigns,0,1.0,0.3333333333333333,1
0,maleficnet_mals,1,0.07692307692307693,0.23076923076923078,1
1,famous_le_10m,0,1.0,0.2,1
1,famous_le_10m,1,0.0,0.6,1
1,famous_le_10m,2,0.0,0.4,1
1,famous_le_10m,3,0.0,0.2,1
1,famous_le_10m,4,0.6,0.0,1
1,famous_le_10m,5,1.0,0.2,1
1,famous_le_10m,6,1.0,0.2,1
1,famous_le_10m,7,1.0,0.0,1
1,famous_le_10m,8,1.0,0.0,1
1,famous_le_10m,9,1.0,0.0,1
1,famous_le_10m,10,1.0,0.0,1
1,famous_le_10m,11,1.0,0.0,1
1,famous_le_10m,12,1.0,0.0,1
1,famous_le_10m,13,1.0,0.0,1
1,famous_le_10m,14,1.0,0.0,1
1,famous_le_10m,15,1.0,0.0,1
1,famous_le_10m,16,1.0,0.0,1
1,famous_le_10m,17,1.0,0.0,1
1,famous_le_10m,18,1.0,0.0,1
1,famous_le_10m,19,1.0,0.0,1
1,famous_le_10m,20,1.0,0.0,1
1,famous_le_10m,21,1.0,0.0,1
1,famous_le_10m,22,1.0,0.0,1
1,famous_le_10m,23,1.0,0.0,1
1,famous_le_100m,0,0.7142857142857143,0.35714285714285715,1
1,famous_le_100m,1,0.2857142857142857,0.5714285714285714,1
1,famous_le_100m,2,0.2857142857142857,0.6428571428571429,1
1,famous_le_100m,3,0.2857142857142857,0.6428571428571429,1
1,famous_le_100m,4,0.2857142857142857,0.7142857142857143,1
1,famous_le_100m,5,0.2857142857142857,0.7142857142857143,1
1,famous_le_100m,6,0.35714285714285715,0.5714285714285714,1
1,famous_le_100m,7,0.5,0.21428571428571427,1
1,famous_le_100m,8,0.42857142857142855,0.21428571428571427,1
1,famous_le_100m,9,0.42857142857142855,0.21428571428571427,1
1,famous_le_100m,10,0.42857142857142855,0.14285714285714285,1
1,famous_le_100m,11,0.5,0.2857142857142857,1
1,famous_le_100m,12,0.6428571428571429,0.42857142857142855,1
1,famous_le_100m,13,0.7857142857142857,0.14285714285714285,1
1,famous_le_100m,14,0.8571428571428571,0.07142857142857142,1
1,famous_le_100m,15,0.8571428571428571,0.0,1
1,famous_le_100m,16,0.8571428571428571,0.0,1
1,famous_le_100m,17,0.9285714285714286,0.07142857142857142,1
1,famous_le_100m,18,0.9285714285714286,0.0,1
1,famous_le_100m,19,0.9285714285714286,0.0,1
1,famous_le_100m,20,0.9285714285714286,0.0,1
1,famous_le_100m,21,0.9285714285714286,0.07142857142857142,1
1,famous_le_100m,22,1.0,0.0,1
1,famous_le_100m,23,1.0,0.0,1
1,maleficnet_benigns,0,1.0,1.0,1
1,maleficnet_mals,1,0.23076923076923078,0.0,1
2,famous_le_10m,0,1.0,1.0,1
2,famous_le_10m,1,0.0,0.2,1
2,famous_le_10m,2,0.0,0.2,1
2,famous_le_10m,3,0.4,0.8,1
2,famous_le_10m,4,0.8,0.8,1
2,famous_le_10m,5,1.0,0.8,1
2,famous_le_10m,6,1.0,0.0,1
2,famous_le_10m,7,1.0,0.0,1
2,famous_le_10m,8,1.0,0.0,1
2,famous_le_10m,9,1.0,0.0,1
2,famous_le_10m,10,1.0,0.0,1
2,famous_le_10m,11,1.0,0.0,1
2,famous_le_10m,12,1.0,0.0,1
2,famous_le_10m,13,1.0,0.0,1
2,famous_le_10m,14,1.0,0.0,1
2,famous_le_10m,15,1.0,0.0,1
2,famous_le_10m,16,1.0,0.0,1
2,famous_le_10m,17,1.0,0.0,1
2,famous_le_10m,18,1.0,0.0,1
2,famous_le_10m,19,1.0,0.0,1
2,famous_le_10m,20,1.0,0.0,1
2,famous_le_10m,21,1.0,0.0,1
2,famous_le_10m,22,1.0,0.0,1
2,famous_le_10m,23,1.0,0.0,1
2,famous_le_100m,0,0.5714285714285714,0.5,1
2,famous_le_100m,1,0.42857142857142855,0.42857142857142855,1
2,famous_le_100m,2,0.42857142857142855,0.35714285714285715,1
2,famous_le_100m,3,0.42857142857142855,0.5,1
2,famous_le_100m,4,0.42857142857142855,0.35714285714285715,1
2,famous_le_100m,5,0.42857142857142855,0.5,1
2,famous_le_100m,6,0.5,0.6428571428571429,1
2,famous_le_100m,7,0.42857142857142855,0.35714285714285715,1
2,famous_le_100m,8,0.42857142857142855,0.35714285714285715,1
2,famous_le_100m,9,0.42857142857142855,0.07142857142857142,1
2,famous_le_100m,10,0.42857142857142855,0.07142857142857142,1
2,famous_le_100m,11,0.42857142857142855,0.07142857142857142,1
2,famous_le_100m,12,0.42857142857142855,0.14285714285714285,1
2,famous_le_100m,13,0.5714285714285714,0.21428571428571427,1
2,famous_le_100m,14,0.7857142857142857,0.21428571428571427,1
2,famous_le_100m,15,0.8571428571428571,0.07142857142857142,1
2,famous_le_100m,16,0.9285714285714286,0.07142857142857142,1
2,famous_le_100m,17,0.9285714285714286,0.0,1
2,famous_le_100m,18,0.9285714285714286,0.0,1
2,famous_le_100m,19,0.9285714285714286,0.0,1
2,famous_le_100m,20,1.0,0.07142857142857142,1
2,famous_le_100m,21,1.0,0.0,1
2,famous_le_100m,22,1.0,0.0,1
2,famous_le_100m,23,1.0,0.0,1
2,maleficnet_benigns,0,1.0,0.6666666666666666,1
2,maleficnet_mals,1,0.38461538461538464,0.7692307692307693,1
3,famous_le_10m,0,1.0,0.6,1
3,famous_le_10m,1,0.0,0.4,1
3,famous_le_10m,2,0.0,0.2,1
3,famous_le_10m,3,0.0,0.2,1
3,famous_le_10m,4,0.4,0.8,1
3,famous_le_10m,5,1.0,0.8,1
3,famous_le_10m,6,1.0,0.6,1
3,famous_le_10m,7,1.0,1.0,1
3,famous_le_10m,8,1.0,1.0,1
3,famous_le_10m,9,1.0,1.0,1
3,famous_le_10m,10,1.0,1.0,1
3,famous_le_10m,11,1.0,1.0,1
3,famous_le_10m,12,1.0,1.0,1
3,famous_le_10m,13,1.0,1.0,1
3,famous_le_10m,14,1.0,1.0,1
3,famous_le_10m,15,1.0,1.0,1
3,famous_le_10m,16,1.0,1.0,1
3,famous_le_10m,17,1.0,1.0,1
3,famous_le_10m,18,1.0,1.0,1
3,famous_le_10m,19,1.0,1.0,1
3,famous_le_10m,20,1.0,1.0,1
3,famous_le_10m,21,1.0,1.0,1
3,famous_le_10m,22,1.0,1.0,1
3,famous_le_10m,23,1.0,1.0,1
3,famous_le_100m,0,0.7857142857142857,0.35714285714285715,1
3,famous_le_100m,1,0.2857142857142857,0.6428571428571429,1
3,famous_le_100m,2,0.21428571428571427,0.5714285714285714,1
3,famous_le_100m,3,0.21428571428571427,0.5714285714285714,1
3,famous_le_100m,4,0.21428571428571427,0.5714285714285714,1
3,famous_le_100m,5,0.21428571428571427,0.5714285714285714,1
3,famous_le_100m,6,0.35714285714285715,0.42857142857142855,1
3,famous_le_100m,7,0.5,0.5,1
3,famous_le_100m,8,0.42857142857142855,0.6428571428571429,1
3,famous_le_100m,9,0.42857142857142855,0.7142857142857143,1
3,famous_le_100m,10,0.5,0.8571428571428571,1
3,famous_le_100m,11,0.6428571428571429,0.7857142857142857,1
3,famous_le_100m,12,0.7857142857142857,1.0,1
3,famous_le_100m,13,0.8571428571428571,0.9285714285714286,1
3,famous_le_100m,14,0.8571428571428571,1.0,1
3,famous_le_100m,15,0.8571428571428571,0.9285714285714286,1
3,famous_le_100m,16,0.9285714285714286,0.8571428571428571,1
3,famous_le_100m,17,0.9285714285714286,1.0,1
3,famous_le_100m,18,0.9285714285714286,0.9285714285714286,1
3,famous_le_100m,19,0.9285714285714286,0.9285714285714286,1
3,famous_le_100m,20,1.0,0.9285714285714286,1
3,famous_le_100m,21,1.0,1.0,1
3,famous_le_100m,22,1.0,1.0,1
3,famous_le_100m,23,1.0,1.0,1
3,maleficnet_benigns,0,1.0,1.0,1
3,maleficnet_mals,1,0.0,0.5384615384615384,1
4,famous_le_10m,0,0.4,0.6,1
4,famous_le_10m,1,0.6,0.2,1
4,famous_le_10m,2,0.6,0.0,1
4,famous_le_10m,3,0.8,0.4,1
4,famous_le_10m,4,1.0,0.4,1
4,famous_le_10m,5,1.0,0.2,1
4,famous_le_10m,6,1.0,0.0,1
4,famous_le_10m,7,1.0,0.0,1
4,famous_le_10m,8,1.0,0.0,1
4,famous_le_10m,9,1.0,0.0,1
4,famous_le_10m,10,1.0,0.0,1
4,famous_le_10m,11,1.0,0.0,1
4,famous_le_10m,12,1.0,0.0,1
4,famous_le_10m,13,1.0,0.0,1
4,famous_le_10m,14,1.0,0.0,1
4,famous_le_10m,15,1.0,0.0,1
4,famous_le_10m,16,1.0,0.0,1
4,famous_le_10m,17,1.0,0.0,1
4,famous_le_10m,18,1.0,0.0,1
4,famous_le_10m,19,1.0,0.0,1
4,famous_le_10m,20,1.0,0.0,1
4,famous_le_10m,21,1.0,0.0,1
4,famous_le_10m,22,1.0,0.0,1
4,famous_le_10m,23,1.0,0.0,1
4,famous_le_100m,0,0.7857142857142857,0.8571428571428571,1
4,famous_le_100m,1,0.21428571428571427,0.42857142857142855,1
4,famous_le_100m,2,0.21428571428571427,0.35714285714285715,1
4,famous_le_100m,3,0.2857142857142857,0.21428571428571427,1
4,famous_le_100m,4,0.2857142857142857,0.14285714285714285,1
4,famous_le_100m,5,0.35714285714285715,0.2857142857142857,1
4,famous_le_100m,6,0.5714285714285714,0.21428571428571427,1
4,famous_le_100m,7,0.8571428571428571,0.21428571428571427,1
4,famous_le_100m,8,0.9285714285714286,0.14285714285714285,1
4,famous_le_100m,9,1.0,0.07142857142857142,1
4,famous_le_100m,10,0.9285714285714286,0.0,1
4,famous_le_100m,11,1.0,0.0,1
4,famous_le_100m,12,1.0,0.0,1
4,famous_le_100m,13,1.0,0.0,1
4,famous_le_100m,14,1.0,0.07142857142857142,1
4,famous_le_100m,15,1.0,0.0,1
4,famous_le_100m,16,1.0,0.0,1
4,famous_le_100m,17,1.0,0.0,1
4,famous_le_100m,18,1.0,0.0,1
4,famous_le_100m,19,1.0,0.0,1
4,famous_le_100m,20,1.0,0.0,1
4,famous_le_100m,21,1.0,0.0,1
4,famous_le_100m,22,1.0,0.0,1
4,famous_le_100m,23,1.0,0.0,1
4,maleficnet_benigns,0,1.0,1.0,1
4,maleficnet_mals,1,0.0,0.15384615384615385,1
5,famous_le_10m,0,1.0,0.4,1
5,famous_le_10m,1,0.2,0.6,1
5,famous_le_10m,2,0.2,0.8,1
5,famous_le_10m,3,0.2,0.8,1
5,famous_le_10m,4,0.4,1.0,1
5,famous_le_10m,5,1.0,0.8,1
5,famous_le_10m,6,1.0,0.0,1
5,famous_le_10m,7,1.0,0.0,1
5,famous_le_10m,8,1.0,0.0,1
5,famous_le_10m,9,1.0,0.0,1
5,famous_le_10m,10,1.0,0.0,1
5,famous_le_10m,11,1.0,0.0,1
5,famous_le_10m,12,1.0,0.0,1
5,famous_le_10m,13,1.0,0.0,1
5,famous_le_10m,14,1.0,0.0,1
5,famous_le_10m,15,1.0,0.0,1
5,famous_le_10m,16,1.0,0.0,1
5,famous_le_10m,17,1.0,0.0,1
5,famous_le_10m,18,1.0,0.0,1
5,famous_le_10m,19,1.0,0.0,1
5,famous_le_10m,20,1.0,0.0,1
5,famous_le_10m,21,1.0,0.0,1
5,famous_le_10m,22,1.0,0.0,1
5,famous_le_10m,23,1.0,0.0,1
5,famous_le_100m,0,0.7857142857142857,0.5714285714285714,1
5,famous_le_100m,1,0.21428571428571427,0.35714285714285715,1
5,famous_le_100m,2,0.21428571428571427,0.42857142857142855,1
5,famous_le_100m,3,0.14285714285714285,0.5,1
5,famous_le_100m,4,0.14285714285714285,0.42857142857142855,1
5,famous_le_100m,5,0.14285714285714285,0.5,1
5,famous_le_100m,6,0.35714285714285715,0.6428571428571429,1
5,famous_le_100m,7,0.5,0.2857142857142857,1
5,famous_le_100m,8,0.5714285714285714,0.21428571428571427,1
5,famous_le_100m,9,0.5,0.35714285714285715,1
5,famous_le_100m,10,0.6428571428571429,0.35714285714285715,1
5,famous_le_100m,11,0.7857142857142857,0.2857142857142857,1
5,famous_le_100m,12,0.8571428571428571,0.14285714285714285,1
5,famous_le_100m,13,0.8571428571428571,0.07142857142857142,1
5,famous_le_100m,14,0.8571428571428571,0.0,1
5,famous_le_100m,15,0.8571428571428571,0.07142857142857142,1
5,famous_le_100m,16,0.9285714285714286,0.14285714285714285,1
5,famous_le_100m,17,0.9285714285714286,0.14285714285714285,1
5,famous_le_100m,18,0.9285714285714286,0.07142857142857142,1
5,famous_le_100m,19,1.0,0.07142857142857142,1
5,famous_le_100m,20,1.0,0.07142857142857142,1
5,famous_le_100m,21,1.0,0.07142857142857142,1
5,famous_le_100m,22,1.0,0.0,1
5,famous_le_100m,23,1.0,0.0,1
5,maleficnet_benigns,0,1.0,0.6666666666666666,1
5,maleficnet_mals,1,0.0,0.6153846153846154,1
6,famous_le_10m,0,1.0,0.4,1
6,famous_le_10m,1,0.0,0.4,1
6,famous_le_10m,2,0.0,0.4,1
6,famous_le_10m,3,0.2,0.6,1
6,famous_le_10m,4,0.4,0.6,1
6,famous_le_10m,5,0.2,0.2,1
6,famous_le_10m,6,0.6,0.8,1
6,famous_le_10m,7,0.6,0.4,1
6,famous_le_10m,8,1.0,0.0,1
6,famous_le_10m,9,1.0,0.4,1
6,famous_le_10m,10,1.0,0.0,1
6,famous_le_10m,11,1.0,0.4,1
6,famous_le_10m,12,1.0,0.0,1
6,famous_le_10m,13,1.0,0.0,1
6,famous_le_10m,14,1.0,0.0,1
6,famous_le_10m,15,1.0,0.0,1
6,famous_le_10m,16,1.0,0.0,1
6,famous_le_10m,17,1.0,0.0,1
6,famous_le_10m,18,1.0,0.0,1
6,famous_le_10m,19,1.0,0.0,1
6,famous_le_10m,20,1.0,0.0,1
6,famous_le_10m,21,1.0,0.0,1
6,famous_le_10m,22,1.0,0.0,1
6,famous_le_10m,23,1.0,0.0,1
6,famous_le_100m,0,0.6428571428571429,0.7142857142857143,1
6,famous_le_100m,1,0.35714285714285715,0.35714285714285715,1
6,famous_le_100m,2,0.35714285714285715,0.42857142857142855,1
6,famous_le_100m,3,0.35714285714285715,0.42857142857142855,1
6,famous_le_100m,4,0.35714285714285715,0.35714285714285715,1
6,famous_le_100m,5,0.2857142857142857,0.35714285714285715,1
6,famous_le_100m,6,0.2857142857142857,0.35714285714285715,1
6,famous_le_100m,7,0.07142857142857142,0.2857142857142857,1
6,famous_le_100m,8,0.07142857142857142,0.14285714285714285,1
6,famous_le_100m,9,0.21428571428571427,0.21428571428571427,1
6,famous_le_100m,10,0.14285714285714285,0.2857142857142857,1
6,famous_le_100m,11,0.21428571428571427,0.21428571428571427,1
6,famous_le_100m,12,0.42857142857142855,0.14285714285714285,1
6,famous_le_100m,13,0.42857142857142855,0.07142857142857142,1
6,famous_le_100m,14,0.42857142857142855,0.0,1
6,famous_le_100m,15,0.6428571428571429,0.14285714285714285,1
6,famous_le_100m,16,0.8571428571428571,0.07142857142857142,1
6,famous_le_100m,17,0.8571428571428571,0.0,1
6,famous_le_100m,18,0.8571428571428571,0.0,1
6,famous_le_100m,19,0.8571428571428571,0.0,1
6,famous_le_100m,20,0.8571428571428571,0.0,1
6,famous_le_100m,21,0.8571428571428571,0.0,1
6,famous_le_100m,22,0.9285714285714286,0.0,1
6,famous_le_100m,23,0.9285714285714286,0.07142857142857142,1
6,maleficnet_benigns,0,1.0,1.0,1
6,maleficnet_mals,1,0.5384615384615384,0.8461538461538461,1
7,famous_le_10m,0,1.0,0.0,1
7,famous_le_10m,1,0.0,1.0,1
7,famous_le_10m,2,0.0,1.0,1
7,famous_le_10m,3,0.0,1.0,1
7,famous_le_10m,4,0.0,1.0,1
7,famous_le_10m,5,0.2,0.8,1
7,famous_le_10m,6,0.4,1.0,1
7,famous_le_10m,7,1.0,0.4,1
7,famous_le_10m,8,1.0,1.0,1
7,famous_le_10m,9,1.0,1.0,1
7,famous_le_10m,10,1.0,1.0,1
7,famous_le_10m,11,1.0,1.0,1
7,famous_le_10m,12,1.0,1.0,1
7,famous_le_10m,13,1.0,1.0,1
7,famous_le_10m,14,1.0,1.0,1
7,famous_le_10m,15,1.0,1.0,1
7,famous_le_10m,16,1.0,1.0,1
7,famous_le_10m,17,1.0,1.0,1
7,famous_le_10m,18,1.0,1.0,1
7,famous_le_10m,19,1.0,1.0,1
7,famous_le_10m,20,1.0,1.0,1
7,famous_le_10m,21,1.0,1.0,1
7,famous_le_10m,22,1.0,1.0,1
7,famous_le_10m,23,1.0,1.0,1
7,famous_le_100m,0,0.7857142857142857,0.5714285714285714,1
7,famous_le_100m,1,0.21428571428571427,0.42857142857142855,1
7,famous_le_100m,2,0.2857142857142857,0.42857142857142855,1
7,famous_le_100m,3,0.21428571428571427,0.42857142857142855,1
7,famous_le_100m,4,0.21428571428571427,0.35714285714285715,1
7,famous_le_100m,5,0.21428571428571427,0.21428571428571427,1
7,famous_le_100m,6,0.21428571428571427,0.2857142857142857,1
7,famous_le_100m,7,0.21428571428571427,0.21428571428571427,1
7,famous_le_100m,8,0.0,0.42857142857142855,1
7,famous_le_100m,9,0.0,0.42857142857142855,1
7,famous_le_100m,10,0.07142857142857142,0.14285714285714285,1
7,famous_le_100m,11,0.21428571428571427,0.21428571428571427,1
7,famous_le_100m,12,0.21428571428571427,0.5,1
7,famous_le_100m,13,0.2857142857142857,0.5,1
7,famous_le_100m,14,0.5,0.7142857142857143,1
7,famous_le_100m,15,0.7142857142857143,0.8571428571428571,1
7,famous_le_100m,16,0.8571428571428571,0.8571428571428571,1
7,famous_le_100m,17,0.8571428571428571,0.8571428571428571,1
7,famous_le_100m,18,0.8571428571428571,0.8571428571428571,1
7,famous_le_100m,19,0.8571428571428571,0.8571428571428571,1
7,famous_le_100m,20,0.8571428571428571,0.8571428571428571,1
7,famous_le_100m,21,0.9285714285714286,0.9285714285714286,1
7,famous_le_100m,22,1.0,1.0,1
7,famous_le_100m,23,1.0,1.0,1
7,maleficnet_benigns,0,1.0,0.0,1
7,maleficnet_mals,1,0.15384615384615385,0.8461538461538461,1
8,famous_le_10m,0,0.4,0.4,1
8,famous_le_10m,1,0.6,0.6,1
8,famous_le_10m,2,0.6,0.6,1
8,famous_le_10m,3,0.8,0.6,1
8,famous_le_10m,4,0.6,0.8,1
8,famous_le_10m,5,0.2,0.8,1
8,famous_le_10m,6,0.4,0.6,1
8,famous_le_10m,7,0.4,0.2,1
8,famous_le_10m,8,0.4,0.2,1
8,famous_le_10m,9,0.2,0.2,1
8,famous_le_10m,10,0.2,0.2,1
8,famous_le_10m,11,0.2,0.2,1
8,famous_le_10m,12,0.2,0.2,1
8,famous_le_10m,13,0.2,0.0,1
8,famous_le_10m,14,0.4,0.8,1
8,famous_le_10m,15,0.6,1.0,1
8,famous_le_10m,16,1.0,1.0,1
8,famous_le_10m,17,1.0,1.0,1
8,famous_le_10m,18,1.0,1.0,1
8,famous_le_10m,19,1.0,1.0,1
8,famous_le_10m,20,1.0,1.0,1
8,famous_le_10m,21,1.0,0.8,1
8,famous_le_10m,22,1.0,1.0,1
8,famous_le_10m,23,1.0,1.0,1
8,famous_le_100m,0,0.5714285714285714,0.21428571428571427,1
8,famous_le_100m,1,0.5,0.9285714285714286,1
8,famous_le_100m,2,0.35714285714285715,0.9285714285714286,1
8,famous_le_100m,3,0.42857142857142855,0.9285714285714286,1
8,famous_le_100m,4,0.42857142857142855,0.9285714285714286,1
8,famous_le_100m,5,0.35714285714285715,0.7857142857142857,1
8,famous_le_100m,6,0.35714285714285715,0.7142857142857143,1
8,famous_le_100m,7,0.21428571428571427,0.7142857142857143,1
8,famous_le_100m,8,0.14285714285714285,0.42857142857142855,1
8,famous_le_100m,9,0.14285714285714285,0.35714285714285715,1
8,famous_le_100m,10,0.35714285714285715,0.35714285714285715,1
8,famous_le_100m,11,0.35714285714285715,0.35714285714285715,1
8,famous_le_100m,12,0.5,0.35714285714285715,1
8,famous_le_100m,13,0.5,0.5,1
8,famous_le_100m,14,0.5714285714285714,0.7857142857142857,1
8,famous_le_100m,15,0.8571428571428571,0.7142857142857143,1
8,famous_le_100m,16,0.9285714285714286,0.9285714285714286,1
8,famous_le_100m,17,0.8571428571428571,0.9285714285714286,1
8,famous_le_100m,18,0.8571428571428571,0.8571428571428571,1
8,famous_le_100m,19,0.8571428571428571,0.8571428571428571,1
8,famous_le_100m,20,0.8571428571428571,0.8571428571428571,1
8,famous_le_100m,21,0.8571428571428571,0.9285714285714286,1
8,famous_le_100m,22,0.8571428571428571,0.9285714285714286,1
8,famous_le_100m,23,0.8571428571428571,0.9285714285714286,1
8,maleficnet_benigns,0,0.3333333333333333,0.0,1
8,maleficnet_mals,1,0.7692307692307693,1.0,1
9,famous_le_10m,0,1.0,0.6,1
9,famous_le_10m,1,0.0,0.4,1
9,famous_le_10m,2,0.0,0.6,1
9,famous_le_10m,3,0.2,0.4,1
9,famous_le_10m,4,0.4,0.6,1
9,famous_le_10m,5,0.8,0.8,1
9,famous_le_10m,6,1.0,0.8,1
9,famous_le_10m,7,1.0,1.0,1
9,famous_le_10m,8,1.0,1.0,1
9,famous_le_10m,9,1.0,1.0,1
9,famous_le_10m,10,1.0,1.0,1
9,famous_le_10m,11,1.0,1.0,1
9,famous_le_10m,12,1.0,1.0,1
9,famous_le_10m,13,1.0,1.0,1
9,famous_le_10m,14,1.0,1.0,1
9,famous_le_10m,15,1.0,1.0,1
9,famous_le_10m,16,1.0,1.0,1
9,famous_le_10m,17,1.0,1.0,1
9,famous_le_10m,18,1.0,1.0,1
9,famous_le_10m,19,1.0,1.0,1
9,famous_le_10m,20,1.0,1.0,1
9,famous_le_10m,21,1.0,1.0,1
9,famous_le_10m,22,1.0,1.0,1
9,famous_le_10m,23,1.0,1.0,1
9,famous_le_100m,0,0.7857142857142857,0.35714285714285715,1
9,famous_le_100m,1,0.21428571428571427,0.5714285714285714,1
9,famous_le_100m,2,0.21428571428571427,0.6428571428571429,1
9,famous_le_100m,3,0.21428571428571427,0.6428571428571429,1
9,famous_le_100m,4,0.21428571428571427,0.5714285714285714,1
9,famous_le_100m,5,0.21428571428571427,0.6428571428571429,1
9,famous_le_100m,6,0.42857142857142855,0.7142857142857143,1
9,famous_le_100m,7,0.5,0.6428571428571429,1
9,famous_le_100m,8,0.5714285714285714,0.5714285714285714,1
9,famous_le_100m,9,0.7857142857142857,0.5714285714285714,1
9,famous_le_100m,10,0.8571428571428571,0.7142857142857143,1
9,famous_le_100m,11,0.8571428571428571,0.7857142857142857,1
9,famous_le_100m,12,0.8571428571428571,0.9285714285714286,1
9,famous_le_100m,13,0.9285714285714286,0.9285714285714286,1
9,famous_le_100m,14,0.9285714285714286,0.9285714285714286,1
9,famous_le_100m,15,0.9285714285714286,1.0,1
9,famous_le_100m,16,0.9285714285714286,1.0,1
9,famous_le_100m,17,0.9285714285714286,0.9285714285714286,1
9,famous_le_100m,18,1.0,1.0,1
9,famous_le_100m,19,1.0,0.9285714285714286,1
9,famous_le_100m,20,1.0,1.0,1
9,famous_le_100m,21,1.0,1.0,1
9,famous_le_100m,22,1.0,1.0,1
9,famous_le_100m,23,1.0,1.0,1
9,maleficnet_benigns,0,1.0,0.3333333333333333,1
9,maleficnet_mals,1,0.0,0.8461538461538461,1
0,famous_le_10m,0,0.8,0.2,2
0,famous_le_10m,1,0.2,0.4,2
0,famous_le_10m,2,0.2,0.4,2
0,famous_le_10m,3,0.2,0.6,2
0,famous_le_10m,4,0.4,0.6,2
0,famous_le_10m,5,0.4,0.6,2
0,famous_le_10m,6,1.0,0.4,2
0,famous_le_10m,7,1.0,1.0,2
0,famous_le_10m,8,1.0,1.0,2
0,famous_le_10m,9,1.0,1.0,2
0,famous_le_10m,10,1.0,1.0,2
0,famous_le_10m,11,1.0,1.0,2
0,famous_le_10m,12,1.0,1.0,2
0,famous_le_10m,13,1.0,1.0,2
0,famous_le_10m,14,1.0,1.0,2
0,famous_le_10m,15,1.0,1.0,2
0,famous_le_10m,16,1.0,1.0,2
0,famous_le_10m,17,1.0,1.0,2
0,famous_le_10m,18,1.0,1.0,2
0,famous_le_10m,19,1.0,1.0,2
0,famous_le_10m,20,1.0,1.0,2
0,famous_le_10m,21,1.0,1.0,2
0,famous_le_10m,22,1.0,1.0,2
0,famous_le_10m,23,1.0,1.0,2
0,famous_le_100m,0,0.7142857142857143,0.5,2
0,famous_le_100m,1,0.2857142857142857,0.2857142857142857,2
0,famous_le_100m,2,0.2857142857142857,0.42857142857142855,2
0,famous_le_100m,3,0.2857142857142857,0.2857142857142857,2
0,famous_le_100m,4,0.21428571428571427,0.35714285714285715,2
0,famous_le_100m,5,0.21428571428571427,0.35714285714285715,2
0,famous_le_100m,6,0.21428571428571427,0.42857142857142855,2
0,famous_le_100m,7,0.2857142857142857,0.5714285714285714,2
0,famous_le_100m,8,0.5,0.5714285714285714,2
0,famous_le_100m,9,0.42857142857142855,0.2857142857142857,2
0,famous_le_100m,10,0.42857142857142855,0.5,2
0,famous_le_100m,11,0.42857142857142855,0.5,2
0,famous_le_100m,12,0.42857142857142855,0.5,2
0,famous_le_100m,13,0.5714285714285714,0.7142857142857143,2
0,famous_le_100m,14,0.6428571428571429,0.5,2
0,famous_le_100m,15,0.5,0.6428571428571429,2
0,famous_le_100m,16,0.5,0.5,2
